date,product_type,price_per_ton,volume_tons,destination_country,market_indicator,price_volatility,exchange_rate_TND_USD
2014-01-03,CITRUS_FRUITS,928.93,320.03,Netherlands,FALLING,0.098,3.137
2014-01-03,TOMATOES,823.31,122.63,Spain,VOLATILE,0.065,2.801
2014-01-03,PEPPERS,885.82,505.52,Spain,STABLE,0.077,2.922
2014-01-03,DATES,1851.91,46.56,Italy,RISING,0.257,3.183
2014-01-03,WHEAT,344.06,367.78,Netherlands,FALLING,0.064,2.735
2014-01-04,OLIVE_OIL,2532.39,30.77,France,VOLATILE,0.382,3.274
2014-01-04,TOMATOES,617.54,149.48,Saudi Arabia,VOLATILE,0.396,3.089
2014-01-04,CITRUS_FRUITS,1189.64,72.8,France,STABLE,0.243,2.841
2014-01-04,PEPPERS,1011.87,140.62,France,VOLATILE,0.175,2.565
2014-01-07,DATES,1728.87,61.39,Germany,VOLATILE,0.176,2.873
2014-01-07,DATES,2287.65,153.95,Italy,FALLING,0.101,2.91
2014-01-07,PEPPERS,841.07,448.58,Germany,VOLATILE,0.381,3.083
2014-01-09,DATES,2746.46,43.64,Italy,FALLING,0.203,3.08
2014-01-10,PEPPERS,1141.26,51.69,France,FALLING,0.259,2.971
2014-01-15,PEPPERS,1040.23,206.68,Germany,STABLE,0.352,2.862
2014-01-17,TOMATOES,862.79,319.83,France,FALLING,0.321,3.239
2014-01-17,DATES,2213.85,332.06,Italy,FALLING,0.062,2.766
2014-01-17,OLIVE_OIL,3287.21,231.44,Germany,RISING,0.144,2.767
2014-01-20,PEPPERS,1173.02,431.34,Spain,STABLE,0.245,2.879
2014-01-20,CITRUS_FRUITS,1075.69,490.3,USA,FALLING,0.198,3.11
2014-01-23,OLIVE_OIL,3555.96,451.51,Germany,RISING,0.24,2.657
2014-01-23,PEPPERS,1010.01,286.03,Italy,FALLING,0.253,3.069
2014-01-23,PEPPERS,1081.76,364.95,France,RISING,0.135,3.026
2014-01-24,TOMATOES,795.48,324.74,Spain,FALLING,0.123,3.24
2014-01-24,PEPPERS,988.82,45.3,Italy,STABLE,0.154,3.066
2014-01-28,TOMATOES,586.93,32.21,Germany,STABLE,0.114,3.211
2014-01-28,DATES,2828.45,40.99,Spain,VOLATILE,0.161,2.778
2014-02-02,WHEAT,342.64,132.83,Italy,RISING,0.228,3.07
2014-02-02,OLIVE_OIL,2702.57,27.52,Germany,STABLE,0.199,2.538
2014-02-02,CITRUS_FRUITS,956.48,182.29,USA,RISING,0.082,2.979
2014-02-02,WHEAT,332.47,479.69,France,FALLING,0.19,3.06
2014-02-08,OLIVE_OIL,3602.8,388.83,Germany,STABLE,0.215,3.074
2014-02-09,CITRUS_FRUITS,923.71,201.96,Italy,VOLATILE,0.204,2.794
2014-02-10,DATES,2405.16,463.44,France,RISING,0.111,2.827
2014-02-11,OLIVE_OIL,3034.19,362.8,Spain,FALLING,0.326,3.061
2014-02-11,TOMATOES,761.4,39.48,Saudi Arabia,RISING,0.074,2.972
2014-02-11,CITRUS_FRUITS,920.38,469.42,France,FALLING,0.334,3.302
2014-02-14,WHEAT,297.52,290.97,Germany,RISING,0.099,3.058
2014-02-14,OLIVE_OIL,2933.98,56.44,Spain,FALLING,0.352,2.814
2014-02-14,PEPPERS,971.04,380.46,Spain,STABLE,0.068,3.34
2014-02-17,WHEAT,298.63,266.04,Italy,STABLE,0.325,3.078
2014-02-17,TOMATOES,612.99,316.75,Italy,RISING,0.153,3.255
2014-02-19,PEPPERS,867.97,29.61,Saudi Arabia,VOLATILE,0.114,2.856
2014-02-21,PEPPERS,1132.72,223.86,Netherlands,VOLATILE,0.282,2.826
2014-02-23,OLIVE_OIL,2247.85,138.23,Italy,RISING,0.209,2.971
2014-02-24,OLIVE_OIL,3334.71,203.63,Spain,RISING,0.144,3.074
2014-02-25,PEPPERS,1043.89,146.92,France,VOLATILE,0.355,2.798
2014-02-25,TOMATOES,507.48,80.77,France,VOLATILE,0.29,2.919
2014-03-02,PEPPERS,1028.93,95.52,USA,VOLATILE,0.11,3.079
2014-03-06,WHEAT,289.34,130.59,Germany,VOLATILE,0.171,3.108
2014-03-06,DATES,2214.76,239.45,Italy,STABLE,0.067,3.335
2014-03-08,OLIVE_OIL,2749.27,90.58,Netherlands,FALLING,0.113,3.014
2014-03-08,OLIVE_OIL,2551.89,513.18,Saudi Arabia,STABLE,0.116,2.7
2014-03-08,CITRUS_FRUITS,1073.33,482.46,Saudi Arabia,RISING,0.15,2.796
2014-03-11,DATES,2008.97,389.63,Spain,STABLE,0.177,3.103
2014-03-12,TOMATOES,716.37,463.45,Spain,FALLING,0.203,3.169
2014-03-12,OLIVE_OIL,3756.01,357.98,Italy,FALLING,0.239,3.271
2014-03-12,CITRUS_FRUITS,970.02,158.98,USA,RISING,0.213,2.744
2014-03-12,DATES,1849.05,106.05,USA,STABLE,0.366,2.966
2014-03-13,DATES,2643.05,72.45,Spain,RISING,0.297,3.275
2014-03-15,TOMATOES,702.36,330.74,France,VOLATILE,0.262,3.083
2014-03-15,OLIVE_OIL,2610.71,163.75,USA,STABLE,0.153,3.271
2014-03-18,PEPPERS,1248.96,75.79,Saudi Arabia,VOLATILE,0.079,3.008
2014-03-18,DATES,2316.99,90.89,Germany,STABLE,0.128,2.895
2014-03-18,WHEAT,297.42,140.23,USA,STABLE,0.32,2.985
2014-03-18,DATES,2161.66,143.52,USA,STABLE,0.276,3.335
2014-03-20,PEPPERS,1233.89,156.12,France,VOLATILE,0.146,3.044
2014-03-20,CITRUS_FRUITS,694.13,342.18,Netherlands,STABLE,0.34,3.204
2014-03-20,TOMATOES,622.82,372.44,Saudi Arabia,STABLE,0.299,3.019
2014-03-20,DATES,1949.45,316.43,Italy,RISING,0.096,2.931
2014-03-20,DATES,2145.13,40.24,Germany,RISING,0.296,3.061
2014-03-24,TOMATOES,601.08,170.38,USA,VOLATILE,0.091,3.114
2014-03-24,DATES,1968.46,211.57,Italy,STABLE,0.301,3.018
2014-03-29,CITRUS_FRUITS,1017.11,202.08,Saudi Arabia,STABLE,0.386,2.849
2014-04-01,CITRUS_FRUITS,1050.21,431.62,Saudi Arabia,VOLATILE,0.124,3.028
2014-04-01,TOMATOES,701.15,284.61,Netherlands,RISING,0.183,3.103
2014-04-06,OLIVE_OIL,2949.73,224.23,Netherlands,STABLE,0.094,2.974
2014-04-07,OLIVE_OIL,4113.82,345.14,Italy,VOLATILE,0.283,2.986
2014-04-07,PEPPERS,1143.45,346.25,Italy,VOLATILE,0.277,3.199
2014-04-08,TOMATOES,862.52,85.05,Saudi Arabia,STABLE,0.108,3.214
2014-04-10,DATES,2619.03,96.52,Saudi Arabia,FALLING,0.161,2.997
2014-04-10,WHEAT,319.24,252.12,Spain,STABLE,0.235,3.061
